username,name,gender,age,location,bio,picture,class
M.Kapadia92,Mo Kapadia,Male,27,"New York, NY","Foodie 😋, photographer 📷, traveller ✈️, (aspiring) restaurant critic 🍽️.",0.jpg,
snowbird,Jake Owens,Male,32,"Burlington, VT",eat + sleep + tear it up,1.jpg,
Smitty12,Dennis Smith,Male,24,"Boston, MA",Lover of all things Boston,11.jpg,
BossmanRy,Ryan Haiskenen,Male,35,Chicago,what do you call a nosy pepper? .....Jalepeno Business,12.jpg,
Marcymaniac,Marcel Bauld,Male,21,"Fargo, ND",Keep on Rocking in the free world,13.png,
SnakeCharmer,Bao,Male,23,my heart is in Houston,love to travel and eat!,139.jpg,
TomM41,Tom Mallott,Male,45,"Florida
",Business Professional. Husband. Father.,14.jpg,
hockeymom101,Tracey Green,Female,37,"Hanover, NH",proud mom of two amazing boys!,15.png,
livelaughlove,Elizabeth Newman,Female,35,,"love my husband, kids, and creative cooking... oh, and don't forget the wine!",150.jpg,
bblueberryy,Emma Hanson,Female,26,"Jefferson City, MO",living the vegan life since 2002! Ask me about my fav plant-based recipes!,155.jpg,
SamTHEMAN,Sam Kaldis,Male,20,"Green Bay, WI","UC '20      
Just looking for good friends, good food and good times",16.jpg,
ancho-n-cayenne,Yalonda Carter,Female,31,"Baltimore, MD",The spice of life... is spice! 🌶️🌶️,165.jpg,
difrad,Dominic DiFranzo,Male,32,"Ithaca, NY",I made this!,23.jpg,
youngcunningham,Michael Cunningham,Male,22,TN,football is life. UT Nutrition Program '18.,3.jpg,
JuniperQ,JuniperQ,male,20,AMERICA,,343kol.png,
coachmatthews,Eva Matthews,Female,32,"Boston, MA","Mom, foodie, gymnastics coach. Nutrition is strength!",37.jpg,
MannyDL34,Manuel De Leon,Male,30,,gotta eat em all,6.jpg,
EZpz,Emma Zhu,Female,23,"Lincoln, NE","Love yourself, by stuffing all-you-can-eat buffets into your tummy 🤤🤤",bobaPP.jpg,
BeardedMatt,Matthew McConville,Male,33,Home @TX,Eating all the ribs with my blue eyes.  BBQ side options: mac n' cheese + beans,Bot-Sp18.1.jpg,
mariaann,mariaann,Female,38,Santa Fe!!!,,Bot-Sp18.12.JPG,
masterchefterry,masterchefterry,Male,32,"Washington, DC",I'm a chef with a side job as lawyer,Bot-Sp18.13.JPG,
TimBJenkins,Dad Jenkins,Male,42,,Husband of a strong businesswoman and father of a beautiful ballerina,Bot-Sp18.14.jpg,
thisisalfie1998,thisisalfie1999,Male,20,Chicago,HDA '15 --> UChi '19 Go bears!!!,Bot-Sp18.16.jpg,
sweetietooth,Wendy,Female,42,"Champaign, IL","I have a constant sweet tooth, so I like anything from the bakery, like cupcakes, cookies.",Bot-SP18.17.png,
dana84,Dana Cox,Female,34,"Ann Arbor, MI","It's me, Dana.",Bot-SP18.18.png,
MedicalRyan,Ryan Loves TACO,Male,28,"West coast, best coast",MD Student at UCLA. TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮,Bot-Sp18.2.jpg,
chefricky,Ricky Hopkins,Male,41,Texas,"The simplest things in life give me the most pleasure: cooking a good meal, enjoying my friends. ",Bot-SP18.20.png,
lucyinurdreams,Lucy Gregory,Female,28,NYC,"Cooking is like painting. Like colors, there are only so many flavors - it's how you combine them that sets you apart. ",Bot-SP18.21.png,
jiruletheworld,Jin Ying,Male,23,,"Workout 💪, Travel ✈️, Eat 🥣",Bot-SP18.22.png,
ayoitsayo,Maui Ayo,Male,26,"Honolulu, HI","What's up, guys! Let me see some goodies ova here.",Bot-SP18.23.png,
aleeboi,Alex Lee,Male,35,Sunny Los Anageles,Food makes me happy. I want to share the happiness with you!,Bot-SP18.24.png,
Lisa181818,Lisa,Female,38,Proud Red State--KY,Health-convious mama in Kentucky. ❌ GMO ✔️ Natural Food,Bot-Sp18.3.jpg,
this_jack,Jack Boy,Male,26,"New York, NY",👃 It's a car air freshner that I stick into my nose.,Bot-Sp18.4.jpg,
PatelS,Shristi Patel,Female,25,Wakanda or Hogwarts,Not your every day Indian girl who loves butter chicken.,Bot-Sp18.5.jpg,
DonDonDonna,DonnaHAMMERSMITH,Female,30,"Fort Smith, AR","RN at Mercy Hospital. 🧑‍🤝‍🧑 Open Relationship with Mike N. 💑 Fort Smith, AR",Bot-Sp18.6.jpg,
EmmaSmith0214,Emma Smith,Female,33,Online 24/7,🤳 Social Media Specialist. Corgi mama. Buffalo Wings Supporter. <3 WNY,Bot-Sp18.7.jpg,
B.Mike,Mike B.,Male,33,"Scottland -> Brooklyn, NY",Journey to a healthier life. Blink gym is my home. #RunFatBoyRun,Bot-Sp18.8.jpg,
KatieeeM,KatieeeM,Female,25,Tatooine,May the (food) force be with you always,Bot-Sp18.9.JPG,
HP743,Heather,Female,25,,Master Chef and Steering Wheel Karaoke Enthusiast,bot1.png,
southerngirlCel,Celia McCarron,Female,21,"Scottsdale, AR",,bot43.jpg,
MrShazam,MrShazam,Female,40,,,clintonclinton.png,
csmbx1,Suzanne,Female,42,,MAKE $5000 PER WEEK WORKING FROM HOME,dogdogdog.jpg,
karenM,Karen M.,Female,39,CA,trust in the Lord ✝️,female-76.jpg,
mewranda,mewranda,Female,22,Home with 6 cats,Cat & Food & Love,genericphoto1.png,
fgonzalez,MomFiona,Female,45,austin texas,,genericphoto2.png,
NoahM1121,Noah Marshall,Male,28,PA,breakfast all day,genericphoto3.png,
mateoV,Mateo,Male,40,My house & prolific,burgers beer &baseball,genericphoto4.png,
clayton.myers,clayton.myers,Male,25,"Pinehurst, NC",The most dangerous drinking game is seeing how long I can go without coffee.,genericphoto5.png,
Sue_S,Sue Shaw,Female,45,"Boise, ID",one day at a time,genericphoto6.png,
